,index,city_st
2504,"Frederiksted, U.S. Virgin Islands",1
2149,"Fredonia, NY",1
704,"Freeburg, IL",2
811,"Freehold Township, NJ",2
848,"Freehold, NJ",2
980,"Freeport, IL",1
422,"Freeport, NY",3
1020,"Fremont / Newark, CA",1
72,"Fremont, CA",8
736,"Fremont, NE",2
730,"Fremont, OH",2
203,"Fresno, CA",4
649,"Friday Harbor, WA",2
2359,"Fridley, MN",1
1912,"Friendswood, TX",1
453,"Frisco, TX",2
2480,"Front Royal, VA",1
2141,"Frontenac, MO",1
1458,"Frostburg, MD",1
2294,"Ft. Dodge, IA",1
1314,"Ft. Fort Stockton, TX",1
274,"Fullerton, CA",3
1873,"Fulton, MO",1
868,"Gadsden, AL",2
2498,"Gaffney, SC",1
132,"Gainesville, FL",5
838,"Gainesville, GA",2
1856,"Gainesville, VA",1
1533,"Gaithersberg, MD",1
1739,"Gaithersburg, MD",1
2537,"Galax, TX",1
2093,"Galax, VA",1
611,"Galesburg, IL",2
957,"Gallipolis, OH",1
587,"Gallup, NM",2
1526,"Galveston, TX",1
2136,"Garberville, CA",1
1738,"Garden City, KS",1
1343,"Garden City, NY",1
2096,"Garden Grove, CA",1
1545,"Gardner, KS",1
1491,"Gardner, MA",1
492,"Garrettsville, OH",2
877,"Gary, IN",2
1560,"Gaylord, MI",1
1603,"Geddes, NY",1
1091,"Geneseo, NY",1
1698,"Geneva, IL",1
598,"Geneva, NY",2
1451,"Georgetown, DE",1
1947,"Georgetown, KY",1
308,"Georgetown, SC",3
1049,"Georgetown, TX",1
1643,"Germantown, MD",1
1255,"Gettysburg, PA",1
1430,"Gettysburg, VA",1
1846,"Gibson City, IL",1
1883,"Gifford, FL",1
2564,"Gig Harbor, WA",1
2257,"Gilbert, AZ",1
1492,"Gillette, WY",1
1225,"Gilroy, CA",1
1178,"Gladwin, MI",1
1641,"Glasgow, KY",1
1592,"Glassboro, NJ",1
2177,"Glastonbury, CT",1
