,date,city_st,size,size_str,urls,collection
83,2020-05-30,"Middlebury, VT",,Roughly 375,['https://middleburycampus.com/51388/local/community-gathers-for-vigil-for-george-floyds-death/'],Wikipedia
84,2020-05-30,"Montpelier, VT",200.0,hundreds,['https://vtdigger.org/2020/05/30/hundreds-protest-in-burlington-and-montpelier-after-death-of-george-floyd/'],Wikipedia
85,2020-01-01,"Rutland, VT",,,['https://www.rutlandherald.com/news/youth-lead-peaceful-blm-protest/article_66411516-84f5-5d69-ac55-1af2d7f6631f.html'],Wikipedia
86,2020-06-02,"St. Albans, VT",,One,['https://www.wcax.com/content/news/Protesters-counterprotesters-get-into-shouting-match-in-St-Albans-570964141.html'],Wikipedia
87,2020-06-03,"St. Johnsbury, VT",120.0,more than 100 people,['https://www.mynbc5.com/article/4-arrested-in-st-johnsbury-protest-attended-by-hundreds/32767461'],Wikipedia
88,2020-05-31,"Beckley, WV",,As many as 50,['https://www.register-herald.com/news/protesters-gather-in-beckley-over-death-of-george-floyd/article_dccc4e6c-a38e-11ea-a945-b7302e32635a.html'],Wikipedia
89,2020-05-30,"Charleston, WV",,,"['http://wvmetronews.com/2020/05/30/west-virginians-join-floyd-protests/', 'http://wvmetronews.com/2020/05/31/peaceful-protests-over-death-of-george-floyd-social-injustice-crowd-charleston-streets/']",Wikipedia
90,2020-05-30,"Huntington, WV",,"two, one",['http://wvmetronews.com/2020/05/30/west-virginians-join-floyd-protests/'],Wikipedia
91,2020-05-30,"Fairmont, WV",,,"['http://wvmetronews.com/2020/05/30/west-virginians-join-floyd-protests/', 'https://www.wdtv.com/content/news/Hundreds-show-up-for-protest-against-death-of-George-Floyd-570897101.html']",Wikipedia
92,2020-05-30,"Morgantown, WV",,,['http://wvmetronews.com/2020/05/30/west-virginians-join-floyd-protests/'],Wikipedia
93,2020-05-31,"Parkersburg, WV",,,['https://www.wtap.com/content/news/Police-say-George-Floyd-protest-in-Parkersburg-was-peaceful-no-arrests-made-570911241.html'],Wikipedia
94,2020-06-06,"Weirton, WV",,,['https://www.wtrf.com/top-stories/protest-held-in-weirton-in-response-to-george-floyds-death/'],Wikipedia
95,2020-05-31,"Wheeling, WV",200.0,hundreds,"['https://wtov9.com/news/local/wheeling-george-floyd-protest', 'https://madison.com/wsj/news/local/govt-and-politics/peaceful-protest-in-madison-turns-destructive-in-wake-of-police-death-of-george-floyd/article_82a91655-421a-5c36-bd35-4f5c3e033ba1.html']",Wikipedia
96,2020-01-01,"Casper, WY",,approximately 300 protesters,['https://trib.com/news/local/casper/hundreds-march-through-downtown-casper-in-silence-to-protest-killing-of-george-floyd/article_d5b4557e-2810-51de-b706-584594388f53.html'],Wikipedia
97,2020-01-03,"Cheyenne, WY",,about 125 protesters,"['https://www.wyomingnews.com/news/local_news/inexcusable-candlelight-vigil-remembers-george-floyds-death/article_186eecd7-bfe9-59d9-bb44-48c92e49bf9a.html', 'https://www.wyomingnewsnow.tv/content/news/Two-peaceful-protests-in-downtown-Cheyenne-amid-national-riots-570907701.html']",Wikipedia
98,2020-06-07,"Cody, WY",200.0,hundreds,['https://www.kulr8.com/news/hundreds-gather-in-cody-for-black-lives-matter-rally/article_55ac8706-a91c-11ea-9382-abeb64819f42.html'],Wikipedia
